[2026-06-17T10:29:45.073+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-17T10:29:45.103+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:29:43.491344+00:00 [queued]>
[2026-06-17T10:29:45.114+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:29:43.491344+00:00 [queued]>
[2026-06-17T10:29:45.115+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-17T10:29:45.136+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-17 10:29:43.491344+00:00
[2026-06-17T10:29:45.154+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2518) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-17T10:29:45.153+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'manual__2026-06-17T10:29:43.491344+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpx36haeip']
[2026-06-17T10:29:45.156+0000] {standard_task_runner.py:72} INFO - Started process 2521 to run task
[2026-06-17T10:29:45.156+0000] {standard_task_runner.py:105} INFO - Job 16: Subtask incremental_sync_pipeline
[2026-06-17T10:29:45.250+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:29:43.491344+00:00 [running]> on host d8c53ec118ae
[2026-06-17T10:29:45.411+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-17T10:29:43.491344+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-17T10:29:43.491344+00:00'
[2026-06-17T10:29:45.413+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-17T10:29:45.458+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-05-15 → 2026-06-17...
[2026-06-17T10:29:45.469+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-15 -> 2026-05-21
[2026-06-17T10:30:27.652+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-22 -> 2026-05-28
[2026-06-17T10:31:11.863+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-29 -> 2026-06-04
[2026-06-17T10:31:50.495+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-05 -> 2026-06-11
[2026-06-17T10:32:32.562+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-12 -> 2026-06-17
[2026-06-17T10:33:01.968+0000] {logging_mixin.py:190} INFO - Found 103331 changed IDs. Syncing metadata...
[2026-06-17T10:33:16.344+0000] {logging_mixin.py:190} INFO - Skipping movie 1573274: could not fetch metadata.
[2026-06-17T10:33:18.205+0000] {logging_mixin.py:190} INFO - Skipping movie 1573319: could not fetch metadata.
[2026-06-17T10:33:26.280+0000] {logging_mixin.py:190} INFO - Skipping movie 1311416: could not fetch metadata.
[2026-06-17T10:33:27.741+0000] {logging_mixin.py:190} INFO - Skipping movie 1573613: could not fetch metadata.
[2026-06-17T10:33:29.236+0000] {logging_mixin.py:190} INFO - Skipping movie 1311502: could not fetch metadata.
[2026-06-17T10:33:30.360+0000] {logging_mixin.py:190} INFO - Skipping movie 1311527: could not fetch metadata.
[2026-06-17T10:33:37.345+0000] {logging_mixin.py:190} INFO - Skipping movie 1573839: could not fetch metadata.
[2026-06-17T10:33:38.524+0000] {logging_mixin.py:190} INFO - Skipping movie 1573907: could not fetch metadata.
[2026-06-17T10:33:38.683+0000] {logging_mixin.py:190} INFO - Skipping movie 1049629: could not fetch metadata.
[2026-06-17T10:33:41.041+0000] {logging_mixin.py:190} INFO - Skipping movie 1574071: could not fetch metadata.
[2026-06-17T10:34:00.665+0000] {logging_mixin.py:190} INFO - Skipping movie 1574874: could not fetch metadata.
[2026-06-17T10:34:01.665+0000] {logging_mixin.py:190} INFO - Skipping movie 1574917: could not fetch metadata.
[2026-06-17T10:34:03.316+0000] {logging_mixin.py:190} INFO - Skipping movie 1574995: could not fetch metadata.
[2026-06-17T10:34:06.391+0000] {logging_mixin.py:190} INFO - Skipping movie 1313007: could not fetch metadata.
[2026-06-17T10:34:13.735+0000] {logging_mixin.py:190} INFO - Skipping movie 1313430: could not fetch metadata.
[2026-06-17T10:34:15.011+0000] {logging_mixin.py:190} INFO - Skipping movie 1051358: could not fetch metadata.
